1,Reity,reity.cl,,,Sí,Sí,,Chile,,linkedin.com/company/reitytoken/,instagram.com/reity.token,,,,,,play.google.com/store/apps/details?id=com.reity.app,apps.apple.com/cl/app/reity-token/id6468899299,,,,
2,Tokenit,tokenit.cl,,,Sí,Sí,,Chile,,linkedin.com/company/tokenitcl/,instagram.com/tokenitcl/,youtube.com/channel/UCZp-Dv40xUNLgvhLTN9u18Q,,,,,,,,,,
3,Gluon,gluon.cl,,,No,,,Chile,,,,,,,,,,,,,,
4,Bloktok,bloktok.io,,,Sí,Sí,,Chile,,linkedin.com/company/bloktok/,instagram.com/bloktok.io,,,,,,,,,,,
5,Wbuild,wbuild.io,,,Sí,Sí,,Chile,,linkedin.com/company/wbuild-io/,instagram.com/wbuild.io/,,x.com/wbuild_io,web.facebook.com/profile.php?id=100083338508966&_rdc=1&_rdr#,,,,,,,,
6,Loping,loping.com,,,No,,,Chile,,,,,,,,,,,,,,
7,Prypco,prypco.com,,,Sí,,,UAE,,linkedin.com/company/prypcocom/,,,,,,,play.google.com/store/apps/details?id=com.prypco.mint&referrer=adjust_reftag%3DclMEj2MIua2rN%26utm_source%3Dprypcomint_website%26utm_campaign%3Dprypcomint_website%26utm_content%3Dprypcomint_website,,,,,
8,Binaryx,binaryx.com,,,Sí,Sí,,Polonia/USA,,,,youtube.com/@binaryx_platform,x.com/BinaryxPlatform,,t.me/+2IWJ9yBYPcliZjg6,discord.com/invite/f4mTchBKC8,,,,medium.com/@binaryxplatform,,
9,Equisafe,equisafe.io,,,No relevante,,,Francia,,linkedin.com/company/equisafe-io/,,youtube.com/channel/UCxTV7vZs0ZmNVNXAnhiL5Zg/videos,,web.facebook.com/Equisafe.io?_rdc=1&_rdr#,,,,,,,,
10,Equito,equito.app,,,Sí,Sí,,España,,linkedin.com/company/equito-app/,instagram.com/equitoapp_es,,,,,,,,,,,
11,TWINO,twino.eu,,,Sí,,https://thecrowdspace.com/platform/twino/,Letonia,26+,linkedin.com/company/twino/,instagram.com/twino_eu/,,x.com/TWINO_eu,web.facebook.com/TWINOeu/,,,,,,,,
12,Profitus,profitus.com,,,Sí,,https://thecrowdspace.com/platform/profitus/,Lituania,Lituania,linkedin.com/company/profituslt/,instagram.com/profitus_global/,,,web.facebook.com/ProfitusCOM,,,,,,,,
13,Equity Multiple,equitymultiple.com,,,Sí,,,,,,,,,,,,,,,,,
14,HNW Lending,wmaff.com/click,,,,,thecrowdspace.com/platform/hnw-lending,United Kingdom,"Europe, United Kingdom",linkedin.com/company/3653701,,,,facebook.com/people/HNW-Lending/100070112060830,,,,,,,,
15,Mintos,mintos.com,,,,,thecrowdspace.com/platform/mintos,Latvia,"Europe, Austria, Czech Republic, France, Germany, Italy, Latvia, Netherlands, Poland, Portugal, Spain",linkedin.com/company/mintos,instagram.com/mintos_marketplace,youtube.com/@MintosPlatform/featured,x.com/Mintos,facebook.com/MintosMarketplace,,,,apps.apple.com/app/mintos/id1490400894,,,,
16,Letsinvest,letsinvest.eu,,,,,thecrowdspace.com/platform/letsinvest,Lithuania,"Europe, Lithuania",linkedin.com/company/letsinvest-eu,instagram.com/letsinvest_lietuva,,,facebook.com/LetsinvestLietuva,,,,,,,,
17,RE-LENDER,,,,,,thecrowdspace.com/platform/relender,Italy,"Europe, Italy",linkedin.com/company/relender,instagram.com/relendereu,youtube.com/@relendereu/videos,,facebook.com/relenderofficial,,,,,,,,
